title,text,label
Medical experts urge caution as new flu strain spreads rapidly.,Medical experts urge caution as new flu strain spreads rapidly. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
"Aliens contributed to latest space rover design, claims leaked memo.","Aliens contributed to latest space rover design, claims leaked memo. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
A new bill proposing tax reforms passed the lower house of parliament with majority support.,A new bill proposing tax reforms passed the lower house of parliament with majority support. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Cybersecurity experts warn of rising ransomware attacks on infrastructure.,Cybersecurity experts warn of rising ransomware attacks on infrastructure. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Doctors confirm immortality serum developed using jellyfish DNA.,Doctors confirm immortality serum developed using jellyfish DNA. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Cybersecurity experts warn of rising ransomware attacks on infrastructure.,Cybersecurity experts warn of rising ransomware attacks on infrastructure. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Smartphones now capable of reading human thoughts and emotions.,Smartphones now capable of reading human thoughts and emotions. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
The World Health Organization has released new guidelines on heart disease prevention.,The World Health Organization has released new guidelines on heart disease prevention. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Scientists discover that eating only ice cream cures all known diseases.,Scientists discover that eating only ice cream cures all known diseases. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Government to replace currency with digital mind credits by 2026.,Government to replace currency with digital mind credits by 2026. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Tech giants unveil new AI tools aimed at improving user productivity.,Tech giants unveil new AI tools aimed at improving user productivity. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
A recent study links diet soda consumption to increased risk of diabetes.,A recent study links diet soda consumption to increased risk of diabetes. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
"Aliens appointed as advisors in national cabinet, sources claim.","Aliens appointed as advisors in national cabinet, sources claim. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
The World Health Organization has released new guidelines on heart disease prevention.,The World Health Organization has released new guidelines on heart disease prevention. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
The Prime Minister met with foreign diplomats today to discuss economic cooperation.,The Prime Minister met with foreign diplomats today to discuss economic cooperation. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Doctors confirm immortality serum developed using jellyfish DNA.,Doctors confirm immortality serum developed using jellyfish DNA. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Secret documents reveal politicians communicate using time travel.,Secret documents reveal politicians communicate using time travel. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
A new bill proposing tax reforms passed the lower house of parliament with majority support.,A new bill proposing tax reforms passed the lower house of parliament with majority support. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
A new bill proposing tax reforms passed the lower house of parliament with majority support.,A new bill proposing tax reforms passed the lower house of parliament with majority support. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
A recent study links diet soda consumption to increased risk of diabetes.,A recent study links diet soda consumption to increased risk of diabetes. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Government to replace currency with digital mind credits by 2026.,Government to replace currency with digital mind credits by 2026. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Government to replace currency with digital mind credits by 2026.,Government to replace currency with digital mind credits by 2026. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
"Aliens appointed as advisors in national cabinet, sources claim.","Aliens appointed as advisors in national cabinet, sources claim. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
"Aliens contributed to latest space rover design, claims leaked memo.","Aliens contributed to latest space rover design, claims leaked memo. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
Senate hearings continued today over national defense budget allocation.,Senate hearings continued today over national defense budget allocation. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Medical experts urge caution as new flu strain spreads rapidly.,Medical experts urge caution as new flu strain spreads rapidly. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
The Prime Minister met with foreign diplomats today to discuss economic cooperation.,The Prime Minister met with foreign diplomats today to discuss economic cooperation. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Government to replace currency with digital mind credits by 2026.,Government to replace currency with digital mind credits by 2026. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Tech giants unveil new AI tools aimed at improving user productivity.,Tech giants unveil new AI tools aimed at improving user productivity. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Doctors confirm immortality serum developed using jellyfish DNA.,Doctors confirm immortality serum developed using jellyfish DNA. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
The World Health Organization has released new guidelines on heart disease prevention.,The World Health Organization has released new guidelines on heart disease prevention. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Senate hearings continued today over national defense budget allocation.,Senate hearings continued today over national defense budget allocation. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Doctors confirm immortality serum developed using jellyfish DNA.,Doctors confirm immortality serum developed using jellyfish DNA. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Scientists discover that eating only ice cream cures all known diseases.,Scientists discover that eating only ice cream cures all known diseases. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
A recent study links diet soda consumption to increased risk of diabetes.,A recent study links diet soda consumption to increased risk of diabetes. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Scientists discover that eating only ice cream cures all known diseases.,Scientists discover that eating only ice cream cures all known diseases. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
"Aliens appointed as advisors in national cabinet, sources claim.","Aliens appointed as advisors in national cabinet, sources claim. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
The latest smartphone features a foldable display and satellite connectivity.,The latest smartphone features a foldable display and satellite connectivity. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
The World Health Organization has released new guidelines on heart disease prevention.,The World Health Organization has released new guidelines on heart disease prevention. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Scientists discover that eating only ice cream cures all known diseases.,Scientists discover that eating only ice cream cures all known diseases. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Senate hearings continued today over national defense budget allocation.,Senate hearings continued today over national defense budget allocation. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
The Prime Minister met with foreign diplomats today to discuss economic cooperation.,The Prime Minister met with foreign diplomats today to discuss economic cooperation. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Senate hearings continued today over national defense budget allocation.,Senate hearings continued today over national defense budget allocation. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
A new bill proposing tax reforms passed the lower house of parliament with majority support.,A new bill proposing tax reforms passed the lower house of parliament with majority support. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Government to implant chips in citizens under new health initiative.,Government to implant chips in citizens under new health initiative. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Cybersecurity experts warn of rising ransomware attacks on infrastructure.,Cybersecurity experts warn of rising ransomware attacks on infrastructure. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Cybersecurity experts warn of rising ransomware attacks on infrastructure.,Cybersecurity experts warn of rising ransomware attacks on infrastructure. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
The latest smartphone features a foldable display and satellite connectivity.,The latest smartphone features a foldable display and satellite connectivity. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Cybersecurity experts warn of rising ransomware attacks on infrastructure.,Cybersecurity experts warn of rising ransomware attacks on infrastructure. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Senate hearings continued today over national defense budget allocation.,Senate hearings continued today over national defense budget allocation. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
The World Health Organization has released new guidelines on heart disease prevention.,The World Health Organization has released new guidelines on heart disease prevention. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
"Aliens contributed to latest space rover design, claims leaked memo.","Aliens contributed to latest space rover design, claims leaked memo. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
A recent study links diet soda consumption to increased risk of diabetes.,A recent study links diet soda consumption to increased risk of diabetes. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Cybersecurity experts warn of rising ransomware attacks on infrastructure.,Cybersecurity experts warn of rising ransomware attacks on infrastructure. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Scientists upload human consciousness to cloud computing servers.,Scientists upload human consciousness to cloud computing servers. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Smartphones now capable of reading human thoughts and emotions.,Smartphones now capable of reading human thoughts and emotions. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
The latest smartphone features a foldable display and satellite connectivity.,The latest smartphone features a foldable display and satellite connectivity. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Secret documents reveal politicians communicate using time travel.,Secret documents reveal politicians communicate using time travel. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
The latest smartphone features a foldable display and satellite connectivity.,The latest smartphone features a foldable display and satellite connectivity. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
"Aliens appointed as advisors in national cabinet, sources claim.","Aliens appointed as advisors in national cabinet, sources claim. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
Tech giants unveil new AI tools aimed at improving user productivity.,Tech giants unveil new AI tools aimed at improving user productivity. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Scientists upload human consciousness to cloud computing servers.,Scientists upload human consciousness to cloud computing servers. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
The latest smartphone features a foldable display and satellite connectivity.,The latest smartphone features a foldable display and satellite connectivity. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
"Aliens contributed to latest space rover design, claims leaked memo.","Aliens contributed to latest space rover design, claims leaked memo. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
A new bill proposing tax reforms passed the lower house of parliament with majority support.,A new bill proposing tax reforms passed the lower house of parliament with majority support. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Smartphones now capable of reading human thoughts and emotions.,Smartphones now capable of reading human thoughts and emotions. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Secret documents reveal politicians communicate using time travel.,Secret documents reveal politicians communicate using time travel. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Government to implant chips in citizens under new health initiative.,Government to implant chips in citizens under new health initiative. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
A recent study links diet soda consumption to increased risk of diabetes.,A recent study links diet soda consumption to increased risk of diabetes. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Government to implant chips in citizens under new health initiative.,Government to implant chips in citizens under new health initiative. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Smartphones now capable of reading human thoughts and emotions.,Smartphones now capable of reading human thoughts and emotions. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Cybersecurity experts warn of rising ransomware attacks on infrastructure.,Cybersecurity experts warn of rising ransomware attacks on infrastructure. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Medical experts urge caution as new flu strain spreads rapidly.,Medical experts urge caution as new flu strain spreads rapidly. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
The Prime Minister met with foreign diplomats today to discuss economic cooperation.,The Prime Minister met with foreign diplomats today to discuss economic cooperation. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Senate hearings continued today over national defense budget allocation.,Senate hearings continued today over national defense budget allocation. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Cybersecurity experts warn of rising ransomware attacks on infrastructure.,Cybersecurity experts warn of rising ransomware attacks on infrastructure. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Cybersecurity experts warn of rising ransomware attacks on infrastructure.,Cybersecurity experts warn of rising ransomware attacks on infrastructure. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Government to implant chips in citizens under new health initiative.,Government to implant chips in citizens under new health initiative. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Scientists discover that eating only ice cream cures all known diseases.,Scientists discover that eating only ice cream cures all known diseases. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
The World Health Organization has released new guidelines on heart disease prevention.,The World Health Organization has released new guidelines on heart disease prevention. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Scientists discover that eating only ice cream cures all known diseases.,Scientists discover that eating only ice cream cures all known diseases. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
The World Health Organization has released new guidelines on heart disease prevention.,The World Health Organization has released new guidelines on heart disease prevention. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
The World Health Organization has released new guidelines on heart disease prevention.,The World Health Organization has released new guidelines on heart disease prevention. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Doctors confirm immortality serum developed using jellyfish DNA.,Doctors confirm immortality serum developed using jellyfish DNA. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Secret documents reveal politicians communicate using time travel.,Secret documents reveal politicians communicate using time travel. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
"Aliens contributed to latest space rover design, claims leaked memo.","Aliens contributed to latest space rover design, claims leaked memo. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
Scientists discover that eating only ice cream cures all known diseases.,Scientists discover that eating only ice cream cures all known diseases. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
The latest smartphone features a foldable display and satellite connectivity.,The latest smartphone features a foldable display and satellite connectivity. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
"Aliens appointed as advisors in national cabinet, sources claim.","Aliens appointed as advisors in national cabinet, sources claim. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
A recent study links diet soda consumption to increased risk of diabetes.,A recent study links diet soda consumption to increased risk of diabetes. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Medical experts urge caution as new flu strain spreads rapidly.,Medical experts urge caution as new flu strain spreads rapidly. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
The latest smartphone features a foldable display and satellite connectivity.,The latest smartphone features a foldable display and satellite connectivity. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
"Aliens appointed as advisors in national cabinet, sources claim.","Aliens appointed as advisors in national cabinet, sources claim. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
The World Health Organization has released new guidelines on heart disease prevention.,The World Health Organization has released new guidelines on heart disease prevention. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Scientists upload human consciousness to cloud computing servers.,Scientists upload human consciousness to cloud computing servers. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Secret documents reveal politicians communicate using time travel.,Secret documents reveal politicians communicate using time travel. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Medical experts urge caution as new flu strain spreads rapidly.,Medical experts urge caution as new flu strain spreads rapidly. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Smartphones now capable of reading human thoughts and emotions.,Smartphones now capable of reading human thoughts and emotions. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
The World Health Organization has released new guidelines on heart disease prevention.,The World Health Organization has released new guidelines on heart disease prevention. This article explores the implications of recent developments in health. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
The Prime Minister met with foreign diplomats today to discuss economic cooperation.,The Prime Minister met with foreign diplomats today to discuss economic cooperation. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
A new bill proposing tax reforms passed the lower house of parliament with majority support.,A new bill proposing tax reforms passed the lower house of parliament with majority support. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Cybersecurity experts warn of rising ransomware attacks on infrastructure.,Cybersecurity experts warn of rising ransomware attacks on infrastructure. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Cybersecurity experts warn of rising ransomware attacks on infrastructure.,Cybersecurity experts warn of rising ransomware attacks on infrastructure. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
Scientists upload human consciousness to cloud computing servers.,Scientists upload human consciousness to cloud computing servers. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
Secret documents reveal politicians communicate using time travel.,Secret documents reveal politicians communicate using time travel. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
"Aliens contributed to latest space rover design, claims leaked memo.","Aliens contributed to latest space rover design, claims leaked memo. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
Doctors confirm immortality serum developed using jellyfish DNA.,Doctors confirm immortality serum developed using jellyfish DNA. This article explores the implications of recent developments in health. Experts provide insight and data supporting the claims. Published on 2025-05-08.,fake
"Aliens appointed as advisors in national cabinet, sources claim.","Aliens appointed as advisors in national cabinet, sources claim. This article explores the implications of recent developments in politics. Experts provide insight and data supporting the claims. Published on 2025-05-08.",fake
Cybersecurity experts warn of rising ransomware attacks on infrastructure.,Cybersecurity experts warn of rising ransomware attacks on infrastructure. This article explores the implications of recent developments in technology. Experts provide insight and data supporting the truth. Published on 2025-05-08.,real
